product_name,category,price,sku,stock_quantity,release_date,manufacturer,warranty_period,rating,is_available
Large Scene,Beauty,810.11,c0aaf0aa-c0bc-4547-9fe9-dc0fb8be0f2d,701,2021-07-04,Smith-Jenkins,3 years,3.0,No
Worker Yourself,Electronics,977.46,26070076-7d5c-4ac7-b8c9-e25af755b0c5,3734,2024-01-12,Jimenez and Sons,2 years,1.1,Yes
Decade Others,Home & Kitchen,48.02,f9a4ddd3-690b-4952-9b31-e98d69b3ab69,2401,2022-01-08,Whitehead PLC,2 years,2.2,Yes
Cut Compare,Sports,495.34,eab12248-051e-40d6-ad00-2ea669f51d4d,903,2020-12-29,Davidson-Williams,1 year,2.8,Yes
Ahead Soon,Electronics,381.02,1d56814d-12cf-4a5e-b10e-e21a95e7263a,3660,2021-12-26,Wong-Allen,1 year,1.5,Yes
Series Take,Clothing,647.71,989625b0-df4c-42a9-8668-cb6c960a31cc,32,2022-07-06,Vazquez Group,3 years,2.9,No
Live Hope,Sports,379.6,99e9e171-f274-45f0-9fe5-471d8f50731a,288,2020-07-07,Norman-Willis,6 months,1.4,No
Idea Focus,Home & Kitchen,944.29,c0b718fe-05e3-44a8-9342-52f42f4651bf,2101,2023-08-15,"Mcmillan, Gates and Saunders",6 months,4.7,Yes
Respond Rise,Beauty,423.35,c4ce79d0-03a9-4220-9a06-7b6f7fee1425,2494,2021-05-25,Stevenson-Bennett,6 months,4.3,No
Should Nature,Sports,179.44,d04837b0-5a79-45b9-95ae-449da662a7f7,3296,2023-04-26,Valdez Ltd,3 years,1.8,No
Enough Whose,Beauty,846.83,a341e25d-d262-4b5f-8e2d-3b2de24b975c,1096,2022-06-08,"Adams, Harris and Mcmahon",2 years,1.7,No
Soon Bad,Home & Kitchen,397.9,2b306fd5-18ef-4fca-918a-b5937f74bcfd,1932,2023-05-26,Stephens Ltd,1 year,2.2,Yes
Argue Defense,Home & Kitchen,355.7,8d77f831-c0f3-4776-a2a8-381985bd2645,3658,2025-01-13,Oneill Inc,1 year,2.2,Yes
Firm Nice,Clothing,426.73,6d16aa91-39df-41e2-9392-0f353a0748fe,115,2021-07-07,"Mills, Riggs and Taylor",1 year,4.5,No
Fund Purpose,Electronics,328.44,0aac8165-223b-4456-ae98-49c741cd78d4,3824,2022-01-07,Love PLC,2 years,4.3,No
Order National,Beauty,604.75,06076f04-5f98-4d9e-af56-a8f3ba2974a1,3620,2023-10-25,Williams-Jones,3 years,2.9,Yes
Turn Describe,Electronics,993.53,0bae0386-b0c8-46b5-9db9-327ad26ff98a,2055,2020-12-14,"Everett, Kennedy and Young",3 years,2.7,Yes
Drive Number,Clothing,407.53,d0cd3970-2492-4262-b6d5-86b746a6f35c,1650,2020-11-13,Moon LLC,2 years,2.9,No
Country Alone,Sports,124.03,776255f5-cd4a-4736-9ecc-6ee461406478,3446,2022-11-25,Bright-Boyd,6 months,1.6,No
They Any,Home & Kitchen,466.3,1c8cfe4e-d7e7-451c-a801-086836ae2346,263,2024-07-24,Coleman Group,6 months,2.4,Yes
Financial Language,Clothing,313.59,cef8b574-dcc4-48c4-9849-2f7c27564fff,4430,2021-04-30,Shaw PLC,2 years,2.4,No
Scene Amount,Electronics,333.35,bce88c24-5e28-4516-b0a8-4c1a500d2bff,1265,2022-05-13,Wade Inc,2 years,1.2,Yes
Administration Almost,Sports,835.49,5c59a045-68ab-4199-a7e9-67c880cae7ea,694,2022-03-09,Cooke-Hardy,2 years,2.8,No
Decide Step,Clothing,874.46,678d649a-f7a6-49eb-9ec6-981837599f4f,1383,2023-02-15,"Chaney, Green and Lynch",2 years,4.1,Yes
National Section,Sports,933.82,606ecfec-83c3-4916-9a21-eea580f359e5,1317,2025-01-21,Smith-Franklin,3 years,4.6,No
Good Radio,Home & Kitchen,328.58,76fc3067-8760-4345-8179-3b8fa16ca9d5,997,2021-08-03,"Hernandez, Cox and Bowen",1 year,3.9,No
Quickly Issue,Electronics,729.14,960a2d35-ea66-4b81-aee7-4acb60fc6788,2772,2021-03-04,"Jordan, Stevens and Martin",6 months,3.5,Yes
Single Pattern,Electronics,659.04,bc8c71f8-9397-4853-8e30-8b3a853b6a68,1406,2024-11-14,Mccarthy Group,3 years,1.7,Yes
Fact Try,Home & Kitchen,582.81,94df2374-7932-4533-9ff1-e4655160ecd0,3972,2023-11-21,Shaw PLC,3 years,3.6,No
Laugh Determine,Electronics,873.22,f3f47aef-2b5b-4fd2-8ddc-4cfa7f0e4280,1272,2024-02-18,Galvan Ltd,2 years,3.3,Yes
Shake Owner,Beauty,970.97,c7f1b862-c96b-4730-a919-004b05d3a551,394,2024-10-28,Jordan LLC,3 years,2.0,No
Source Family,Beauty,587.38,64747608-4a37-4443-b440-b0a8d445ace0,552,2024-02-14,"Porter, Meadows and Jones",3 years,3.3,No
Live Movie,Home & Kitchen,171.35,32c42208-b6f7-42c1-ae6d-ea59a6d95e8d,4676,2023-11-13,Wilson Inc,6 months,3.2,Yes
Very Staff,Home & Kitchen,724.24,0c21b849-35cd-4fe5-a8e2-df01844b745a,4128,2024-02-03,Williams PLC,1 year,2.8,Yes
According Plan,Sports,783.84,7ac0c741-0d2a-486b-a309-75b9b3b7bceb,2048,2023-08-01,"Cochran, Simmons and Warren",2 years,1.6,Yes
Require Method,Home & Kitchen,821.4,38e6fd40-63f7-4e0b-85ee-7dbc2c921fa9,3636,2021-12-27,Short LLC,2 years,4.4,Yes
Senior Suffer,Beauty,779.29,5a8d010f-5ea2-4af7-a532-fa80dfdde65a,192,2020-07-24,Bell-Wallace,3 years,4.2,No
Market Know,Beauty,716.01,0aae089b-f906-4a29-be41-6dc2e4ecfaf2,3365,2022-03-27,Foley-Jennings,3 years,2.2,No
Life However,Beauty,677.93,a82dfd77-26fe-4e51-90e7-f48c2eb68723,1649,2022-06-07,"Atkinson, Martin and Hartman",2 years,4.9,Yes
Year Stay,Sports,806.77,4e0e81f6-631b-49eb-a330-3b906737b3ed,605,2022-08-29,"Valentine, Bruce and Beck",3 years,3.4,No
Situation Film,Beauty,405.42,e0313db2-7a49-48f7-85ea-c161a6b8852a,1983,2024-03-14,Carpenter Inc,6 months,1.0,No
Represent Value,Sports,638.09,f8aa9fc4-ad1f-4e2b-82a0-f9e8600c6aa2,2388,2021-09-01,"Barnett, Peck and Brown",6 months,4.1,Yes
Suddenly Simple,Sports,469.1,e58ccc8e-554c-432e-b452-169782e49096,3528,2025-02-27,"Wood, Brown and Werner",2 years,3.3,Yes
This Society,Sports,966.98,47732919-93c4-400a-a998-b1a2b85d0d15,2814,2023-06-09,Anderson-Young,2 years,4.7,Yes
Able Administration,Clothing,438.78,b51eafbb-5420-4b94-b0a4-18e3dbb5561f,3461,2022-02-18,"Rodriguez, Kramer and Fernandez",1 year,2.4,No
There By,Clothing,568.88,0d0f6727-6baf-4079-996f-ab3b9c8732e4,2312,2023-07-18,Evans PLC,2 years,4.4,No
Physical Tv,Electronics,435.19,ab0cdaed-5fb1-4492-8337-daab40ed1761,3496,2024-01-16,"Carpenter, Stewart and Davis",2 years,3.3,Yes
Technology Despite,Electronics,618.56,44f26f0f-deae-4f13-b1e2-b9a08c02752c,817,2020-03-09,Smith-Wong,2 years,4.6,Yes
Boy Would,Clothing,399.01,597d7a11-4414-4278-82a2-e67a1405d1cc,4280,2023-01-10,Hernandez Inc,2 years,4.5,No
Within Score,Home & Kitchen,896.69,572a3e59-0dfd-4f77-9a91-8403a9d40886,4158,2023-04-25,Church-Nixon,3 years,3.7,No
Nothing Listen,Electronics,611.69,b223ed79-e03f-4dc7-b8d0-d13a3c7c2589,2352,2020-03-09,Thomas-Gould,3 years,2.4,No
Throughout Manage,Clothing,156.96,f8133eda-704b-4db0-a1ac-ba65c8c52ec7,4985,2022-06-26,Osborne-Mcgee,6 months,2.3,No
Window Example,Sports,222.7,7b50ce29-55df-47ce-acd8-bf322a453e44,771,2020-11-05,Wilson-Powell,1 year,3.5,No
Wife Because,Beauty,928.26,602b3d8d-2f82-4924-bae6-0babd1163dbf,2534,2022-12-07,Weaver-Gross,3 years,2.8,Yes
Evidence Safe,Beauty,254.88,6acc4e2b-5c12-4ee2-bcdf-fa2e149088d0,3224,2024-08-18,"Norman, Nelson and Harrison",1 year,4.8,Yes
Serve Blood,Electronics,224.6,081b79d6-8f14-4cf0-be34-f68e172c0c47,2403,2024-08-16,Jefferson-Hernandez,3 years,1.2,Yes
Effort In,Home & Kitchen,228.82,77e8050c-fdb6-4cf8-a0f5-dc22b136e3f0,3013,2023-03-30,"Singh, Moore and Hull",3 years,2.9,Yes
Yes Smile,Home & Kitchen,657.98,aa70d057-eda2-49c2-8e11-b9c5d93b889d,1359,2024-09-09,"Shelton, Lowery and Murphy",6 months,2.5,Yes
Show Trade,Clothing,720.12,2d009c77-c8cc-481b-aa15-884ae4041b6a,3191,2025-02-15,"Gonzalez, Lewis and Davis",3 years,2.5,Yes
Management Already,Clothing,384.14,ad2484b6-d475-468d-9e0e-a32c3517c44e,4736,2024-12-18,Arroyo-Kelley,2 years,4.0,No
Write Put,Beauty,397.69,5a7670db-a5b2-4b44-9b5f-f0df2dc003a4,2053,2024-07-27,"Martin, Schroeder and Thornton",6 months,3.4,No
Top Scene,Electronics,776.47,d2dbba46-9125-42a2-b0de-03c3f9b9cf42,2683,2021-10-05,Beard-Williams,3 years,1.4,No
Threat Language,Electronics,704.95,ce7fd86f-d006-45db-8f54-fa0399a6f2a1,2607,2023-05-29,Campbell Group,1 year,3.6,Yes
Arm System,Electronics,137.78,e17a84ac-147e-4483-8391-80618663305e,292,2024-09-13,"Marshall, Webb and Clayton",3 years,1.1,No
Guess Long,Home & Kitchen,835.41,4715cca1-3d6e-4543-b9ee-695a493a1652,2334,2020-11-25,Gutierrez LLC,6 months,2.7,No
Oil Paper,Beauty,571.76,e98ba603-d771-4f20-b9b3-7688fb6e829f,1610,2021-06-02,Anthony PLC,1 year,2.1,Yes
Result Bit,Sports,114.22,0d45d673-9716-49bd-b170-5ac95b75a031,1418,2020-11-21,Clayton Group,2 years,3.9,Yes
Land Travel,Electronics,828.47,0f3d80e9-2962-4bd6-8a17-cbb47145e9a7,777,2020-04-17,Wilkins Ltd,6 months,2.9,Yes
House Under,Beauty,710.32,61be5aa5-4775-4f71-ba82-9cbc1655e4d5,4574,2020-11-23,"Vazquez, Carrillo and Williams",1 year,1.2,No
Before Black,Beauty,869.46,dc9a4df1-9be5-4edc-a971-250967b557e7,4376,2022-01-18,Weiss PLC,1 year,1.9,Yes
Guy Responsibility,Sports,634.18,340fcd0e-59f9-47ad-bc62-bf31212938b5,2977,2024-01-14,Finley-Wilkinson,6 months,3.5,No
Time Figure,Beauty,782.6,a39f91b5-bfe3-471e-aea5-aa7d845bc59d,198,2024-09-07,Lopez-Fields,3 years,1.3,Yes
Task Book,Sports,850.01,0313e80b-7eb1-41a4-b071-a7e4413d6ee3,6,2022-11-30,Rice Ltd,6 months,1.6,No
Body Buy,Sports,189.54,a8ff4378-c040-4da9-8810-e0f05ac37ed6,3631,2021-07-21,Singh Ltd,3 years,3.7,No
Eye Next,Sports,849.53,ef5343cc-638c-4c89-9d95-caac52e69714,327,2024-09-10,Clayton Ltd,6 months,2.9,Yes
Deep Support,Clothing,94.45,31bf92ca-fc31-4a3b-904d-598994610932,1544,2021-04-28,Moore-Peters,6 months,4.9,Yes
Memory Power,Home & Kitchen,789.99,736bfdb9-76e7-4553-9768-30d5f400026b,3619,2025-01-01,Lee-Santiago,6 months,2.4,No
Phone Field,Home & Kitchen,957.65,a1732ff5-5cd2-4eb1-9959-fe8a96bd288c,1564,2022-08-11,Estrada LLC,3 years,2.0,No
All Among,Beauty,516.87,3805932d-2508-4ae1-9e1d-76fdfcafde8d,2943,2024-12-27,Singleton Group,1 year,2.3,Yes
Among Grow,Sports,760.1,be8e7dff-9bae-4291-a730-d27800772083,1745,2021-12-01,"Butler, Le and Harrison",3 years,4.0,No
Guy Know,Home & Kitchen,137.23,0c687d56-45a5-4cf8-9744-1e7c51917dce,704,2022-07-01,"Bryant, Carter and Dalton",2 years,2.5,Yes
It Operation,Beauty,196.64,cca633e0-8175-4414-b398-f70c824f1f08,2386,2020-11-03,"Wells, Hamilton and Smith",1 year,4.5,Yes
General Create,Sports,792.06,a3906c13-7b2d-4e1c-be25-ff1246c250da,1830,2023-03-26,Bradley-Pope,6 months,2.0,No
Social Today,Beauty,123.88,f6f6d5e1-8847-4759-888c-1fd19be22b5e,4455,2022-03-17,"Hawkins, Barnes and Martinez",2 years,3.7,No
Any Young,Electronics,640.5,a3f358d7-51d1-4900-9ac8-56eb18d2486f,1444,2024-05-02,Shaw PLC,6 months,2.4,Yes
Turn Floor,Sports,871.46,e8e1542a-7dd2-455d-a0b9-da59bd3d279e,2462,2020-05-07,Drake-Forbes,3 years,1.1,No
Cut Recently,Sports,502.5,86687c83-5f73-4567-b317-82c95a901098,2406,2022-10-03,Ashley-Smith,2 years,3.7,Yes
Paper Time,Clothing,109.24,ab845652-ab36-4afa-81b7-4307379b1cb8,238,2022-10-29,"Johnson, Gonzalez and Parker",2 years,1.3,Yes
Culture Minute,Clothing,654.71,b7bb3d8d-8393-4dba-95c4-7e115b7097c6,3325,2023-12-14,"Mccormick, Clark and Moreno",6 months,1.3,Yes
Economic Middle,Electronics,311.24,5c5a5006-18de-4adc-b883-7acb8421f620,64,2020-12-10,"Martin, Christian and Cohen",1 year,3.6,No
Water While,Clothing,575.78,a2166c4b-d9da-4a0c-a60b-b093482d9d29,670,2024-01-31,Harris LLC,3 years,4.8,No
Bring Enjoy,Beauty,17.38,6f6e914f-a7f6-4c57-90c3-986e579cb7f4,3888,2024-11-01,"Schneider, Carson and Ramirez",6 months,3.8,No
Popular Recognize,Electronics,75.03,5029929a-10fd-4db9-a104-8f5d9d74a3d1,1203,2021-08-13,Bishop LLC,6 months,4.9,No
Great Administration,Sports,84.24,debefe59-e1e4-44fb-a0b0-d509c266b52b,1849,2022-10-12,Price LLC,6 months,2.7,No
Space Summer,Home & Kitchen,475.21,41395d61-cbaa-4106-bfc2-a321f69f1d6d,383,2022-07-16,"Bowers, Deleon and Johnson",6 months,1.1,Yes
Race Hot,Clothing,361.19,91bf3023-71ff-441b-9aad-c323fd51bddb,3001,2024-04-15,Odom-Knight,6 months,1.9,Yes
Left Response,Sports,507.36,a4dfe86c-f32f-4df8-bb16-2dd2952b8fef,3232,2021-04-30,Luna-Lopez,3 years,1.2,Yes
Southern Civil,Home & Kitchen,319.25,c2ebcfb9-1809-4e1a-8d11-2d92cc4d686d,941,2022-01-10,"Willis, Johnson and Jensen",3 years,4.1,Yes
Phone Economic,Sports,880.52,ca55158e-43f8-4e9a-abdb-6827f8fad8db,3299,2024-05-21,Moreno-Anthony,1 year,2.3,Yes
Wide Discover,Electronics,996.83,44bdb048-2e7c-4ef7-bba4-c5bdc3c82536,3480,2021-06-16,"Torres, Sims and Stewart",1 year,4.7,No
See Side,Home & Kitchen,258.71,551aff21-b675-4bc8-9f3d-5bf9c73dc3c3,1281,2021-05-26,Thompson Group,2 years,4.2,Yes
Star Pm,Clothing,966.95,e77396e5-d394-4029-b58e-1524347bebe5,3150,2022-06-20,Mckinney-Vargas,1 year,2.8,No
First Investment,Home & Kitchen,292.95,b0ae58ce-c7db-412b-a7c4-641fa7cdf943,4737,2023-09-26,White PLC,3 years,2.8,No
Herself Result,Beauty,67.57,bb71b853-9470-42f6-898d-5dc496d3753a,3788,2021-05-15,Stewart Inc,3 years,4.5,No
Month Beautiful,Electronics,326.64,34753968-0a28-47c6-aeaa-796cc8e9dc88,1788,2023-03-01,Walker-Boyer,1 year,4.1,Yes
Argue Turn,Sports,879.27,0f2a7b6c-4c19-471b-a7ce-ebafcd321b1b,2249,2021-10-01,Morgan Inc,1 year,3.6,Yes
Raise Mind,Electronics,281.95,3380e145-767c-42eb-8fbc-60038ac9da43,2044,2025-02-27,Perry Ltd,3 years,4.9,Yes
Present Note,Beauty,490.75,65b9661d-2bb0-4d86-aa91-17791ccffe9c,4946,2020-05-11,Hunt Group,1 year,4.8,Yes
Newspaper Charge,Electronics,555.85,f2435a5a-68b8-406d-9f89-e6a4efb80751,1422,2024-01-07,Neal-Ramirez,1 year,1.5,Yes
Even History,Sports,822.3,6d35f77e-cfb4-4c7e-bb2b-74c069407971,797,2020-11-22,Jenkins-Nunez,3 years,4.9,Yes
It Thing,Electronics,908.27,c45f60f4-1791-4fb6-8eee-62b20f2472ff,2437,2024-03-21,Mays-Arroyo,1 year,3.6,No
Discover Say,Electronics,765.61,0a5b6c7c-31d6-43be-af4c-37389caac18e,1050,2023-08-26,Hoffman Inc,1 year,4.8,Yes
Character Today,Clothing,551.25,d3de7193-aa6a-487d-a2ca-704b3c3f02e7,3255,2023-11-15,Carter PLC,6 months,1.8,No
Wind Total,Clothing,382.97,fd2fa180-5d63-4f77-96e7-30373c812406,2381,2024-07-12,Wilson-Mclaughlin,2 years,3.8,Yes
About Moment,Sports,75.37,2f74e94f-9fc7-48d8-8f2d-dcd18aa88570,684,2020-03-24,Barnes Ltd,3 years,4.7,No
Individual Admit,Clothing,291.6,147a1dd1-30e1-4f2d-a806-61378fc12f63,4955,2020-10-16,"Harrington, Barry and Morgan",6 months,3.9,Yes
Room Sport,Clothing,164.2,8ff93192-3049-41f6-a719-35065e59085a,3713,2022-04-18,Mitchell Ltd,6 months,3.3,Yes
Air Learn,Beauty,938.0,5addd709-96a9-4399-8176-ad167d98bf72,4619,2025-02-28,"Potter, Luna and Wood",6 months,1.1,Yes
Plant Chance,Beauty,815.8,12ece89b-66fd-4194-a276-aa68379e0e73,1136,2022-07-28,"Browning, Oneill and Munoz",3 years,3.3,No
Road Better,Clothing,526.61,4b787f74-4e37-4453-a158-f77a0c41b199,1360,2021-09-26,Richards and Sons,2 years,4.3,No
Budget Whatever,Electronics,131.64,cc2735d4-669c-42c1-95ab-26f429941106,4735,2023-11-06,Nguyen-Terry,3 years,3.8,No
Agent International,Electronics,138.84,3d1d7741-a0f0-434f-9e61-5ca86cebe803,21,2024-05-15,Daniel Inc,2 years,4.4,Yes
Commercial Street,Sports,734.24,bbacdfc7-366e-43d2-8244-c159924a737e,1664,2024-03-04,Barr-Miller,3 years,2.5,Yes
Run At,Clothing,119.02,af70ac71-87c8-4806-ae98-b0cb61a544d3,4783,2022-07-10,Valenzuela-Jones,2 years,2.9,No
Service Security,Beauty,261.71,8255e6ed-0676-450f-9ef5-1532f66a418d,1424,2024-07-29,Smith Inc,2 years,3.7,No
May Book,Home & Kitchen,486.76,15cfff93-a274-42f6-9b85-0f60f0901047,964,2025-02-11,Perez-Martin,1 year,1.5,No
Discuss Anyone,Electronics,597.85,fc9ae806-053d-4cef-9b53-0f6514412d6b,434,2024-09-23,"Munoz, Knight and Welch",2 years,4.3,Yes
Card Senior,Home & Kitchen,459.63,91ef94ac-abcd-4bff-8d2b-f25a43a0ccfe,2735,2023-10-25,Hill LLC,3 years,1.8,No
Even Week,Sports,322.37,d731731e-8488-41d7-9a31-2120b087f569,4116,2021-12-10,Coleman-Knight,3 years,1.8,No
Mission There,Sports,399.88,b448f259-4fe4-400a-b54d-d8e21d91fe48,4571,2022-02-12,Russo and Sons,2 years,1.3,No
Present Skill,Clothing,420.6,796d1610-b657-481c-a15b-7a5daab9ebc8,4958,2020-03-23,Schmidt-Long,1 year,2.2,Yes
Former Town,Beauty,805.5,7621ae1f-6cc7-4a4d-b7dc-58e8d7b07505,2259,2022-06-27,"Obrien, Johnson and Hamilton",2 years,4.4,No
Newspaper Pass,Electronics,944.51,4d219f63-8016-4d55-b949-5989d5d8b7cf,2611,2022-11-30,Rodriguez-Walker,2 years,1.1,No
But Test,Sports,176.88,badb3e11-0126-471b-9745-1cfe3975f039,143,2024-12-20,"Rodgers, Lewis and Howe",6 months,1.4,No
Probably Citizen,Clothing,863.83,9d3766de-928e-4df0-a747-a1336a6af2aa,4240,2022-05-18,Peck-Adams,2 years,1.7,No
Yard Fight,Home & Kitchen,643.74,4aeaa097-554e-45f0-87a2-649f60ebfff0,894,2023-01-01,Cunningham Inc,1 year,1.1,Yes
Knowledge Although,Beauty,39.16,33d4a39f-f287-462d-99eb-95e5b2e3ec27,4390,2022-05-14,Perkins-Davis,1 year,1.9,Yes
Together Red,Sports,324.89,f4ec9fb3-e4b4-43d7-92bd-5a741bc574c4,909,2020-06-15,Hartman PLC,6 months,2.4,Yes
Prevent Life,Sports,56.12,49e8c658-4f00-4801-8953-f92c32a0966c,3385,2021-11-14,Hampton-Perry,6 months,1.7,Yes
Bit Nice,Beauty,661.6,234ac615-3b41-467a-9f97-e8303325997d,1198,2022-08-12,"Ritter, Clark and Martin",2 years,1.8,No
They Step,Clothing,731.67,61d44859-8969-4feb-ae31-ed285cccec82,3166,2020-12-27,"Watson, Vasquez and Grimes",6 months,3.2,No
Increase Culture,Home & Kitchen,215.37,b889a02c-099b-4762-87df-658ecdbecf64,4241,2022-04-28,Edwards and Sons,6 months,4.6,Yes
By For,Clothing,442.24,612ea74b-1f6c-4b70-bda0-322519940175,3779,2022-07-15,Graham Group,3 years,4.3,No
Effort Rather,Home & Kitchen,618.55,bf22bdbe-9bae-412f-bdca-c32a6962de97,1633,2023-07-15,"Reed, Ortiz and Fisher",3 years,1.5,Yes
Analysis Program,Electronics,912.65,67f46850-3c28-48f5-a641-d59d396539ee,2623,2020-03-16,Preston-Jennings,3 years,4.7,No
Best Father,Home & Kitchen,597.66,67e11af6-49d3-4b35-a367-61d6bfad2b9f,1251,2021-11-16,"Gonzalez, Spencer and Gregory",1 year,3.5,No
Serve Floor,Sports,443.24,5f7788c7-ceb9-451b-95bd-f03ccf7fb281,700,2023-04-28,"Rogers, White and Howard",3 years,2.5,No
Cause Land,Home & Kitchen,267.49,eef9a2a3-369a-4d6b-b173-e692c3112c39,2306,2020-06-24,Romero-Contreras,3 years,4.1,Yes
System Memory,Clothing,650.77,94477197-d2e3-4b62-b468-76b114937a7b,2116,2022-06-04,Miller Group,1 year,3.2,No
Question Bring,Beauty,469.5,f72f6d9b-31f7-40c5-afb4-c2892e37b173,4463,2021-01-21,"Ramos, Watson and Cook",3 years,3.6,Yes
Television This,Beauty,162.36,f009c68c-75a4-44a0-80bf-5f91534b8d24,4115,2023-01-15,Meyer PLC,1 year,3.1,No
Officer Painting,Clothing,636.51,fe470e8e-95ea-45a8-b378-5b1d36e9766d,4804,2021-04-16,Barnes-Rivera,2 years,2.3,No
Western Goal,Beauty,916.91,e94acfa9-b1e7-474d-a384-528f48726d3a,4687,2021-04-06,Roberts Inc,2 years,4.7,No
Decision Represent,Electronics,369.31,aaa8d8e6-3607-4a6b-a18e-7aff8b355854,1775,2024-05-30,Jones-Gonzalez,2 years,3.1,Yes
Than Good,Electronics,294.23,32062c36-eb36-4a3f-906f-b5746d90fd0c,2540,2021-11-20,"Robles, Larson and Wallace",6 months,4.2,Yes
Argue Director,Home & Kitchen,346.6,61b92d53-7fa6-47a7-a193-5ff604b79571,3974,2024-07-12,"Gallegos, Arnold and Valenzuela",6 months,1.9,No
Include Consumer,Clothing,539.9,54aaffc9-4e2b-4f52-8c84-ee469d8146b6,275,2024-11-25,"Lee, Le and Thomas",3 years,2.7,Yes
Action Option,Home & Kitchen,917.76,3f165b5e-646c-4cdb-b653-ec38a903f09b,1154,2023-09-27,Boyer-Moore,6 months,1.2,No
Side Respond,Sports,423.08,fdceebb7-d737-48c4-ae89-6788c8d59af0,4954,2021-10-31,Roach-Blake,2 years,4.5,Yes
Fish Career,Home & Kitchen,670.21,f53180d7-2200-405d-9a80-85dce053570d,1575,2024-08-15,"Wilson, Jones and Carter",2 years,1.7,Yes
Nothing Another,Sports,515.38,ba4afaf3-cd5d-4cb5-b381-72094d6449f5,2241,2022-04-14,Phillips-Riddle,3 years,1.8,Yes
A Shake,Beauty,414.13,cd90791b-0999-4088-a1b1-f7a859649af7,3740,2022-11-13,King-Fleming,3 years,3.4,Yes
Minute Behavior,Electronics,534.51,1b93611b-8ff5-45b2-b447-d2ac8b4706e9,3515,2023-09-30,"Griffin, Fitzgerald and Martinez",6 months,3.1,Yes
Walk Standard,Home & Kitchen,549.0,0d21eeaf-ff76-45c0-bcef-6829114ca484,3126,2020-08-02,Vasquez PLC,1 year,3.5,No
Fire Sing,Beauty,44.36,23e1fc83-5be6-4883-91b1-73ab29fb4f20,3881,2021-05-27,Hernandez-Wright,3 years,1.7,Yes
Truth Candidate,Electronics,990.87,74c65f56-eef9-4770-a0dd-04528d9d70d2,4310,2023-08-30,Johnson and Sons,6 months,3.3,No
Charge Science,Home & Kitchen,80.7,a1d8f681-6e30-4d6e-ab8b-c117fe6bf7c4,4330,2020-04-07,Wu-Warren,2 years,1.0,Yes
