company_name,industry,founded_year,ceo,headquarters,num_employees,revenue,website,stock_symbol,customer_satisfaction,publicly_traded
"Davis, Stevenson and Davis",Finance,1985,Anna Watson,Port Sherrimouth,3428,9784232231.71,https://burnett.com/,MSFT,2.8,No
Mccoy-Burns,Tech,2015,Brian Gutierrez,South Raymondmouth,2667,9553968907.73,http://www.king-reed.com/,MSFT,1.6,No
"Clark, Christensen and Miranda",Tech,1983,Amanda Lam,Gibsonmouth,326,7800892727.66,http://www.shaffer-montgomery.com/,AAPL,3.2,No
Cox Ltd,Finance,2023,Gloria Campos,Brandonville,6918,3008773583.23,https://www.montgomery.com/,AMZN,4.4,No
Peterson PLC,Education,2004,Nancy Norton,Lake Haley,1272,9530635474.71,https://www.perkins.com/,AAPL,1.3,Yes
"Gonzales, Smith and Tate",Healthcare,2023,Brett Atkinson,North Calvin,2422,7583349330.15,http://meyers.org/,AMZN,4.6,No
Miller-Perry,Education,2003,Keith Curry,East Terriborough,7135,1435936481.78,http://smith.com/,GOOGL,3.5,No
"Underwood, Clark and Haynes",Tech,1972,Kimberly Miller,New Sean,458,779609277.1,http://wilson-cruz.com/,MSFT,4.3,No
"Fitzpatrick, Martinez and Rodriguez",Finance,1987,David Frederick,Lake Michaelview,3127,3344790057.46,https://boyd.biz/,GOOGL,2.7,No
"Day, Holden and Lane",Tech,2007,Brian Chang,Emmaberg,6848,7886623511.64,http://www.nichols.com/,AMZN,1.1,No
Khan Inc,Healthcare,1991,Emily Monroe,Brianburgh,3094,1403704836.76,https://hoffman-hunt.com/,AAPL,3.9,No
Barnes-Myers,Retail,2000,Jonathan Hinton,Port Mark,4487,6888745231.93,https://www.dunlap.com/,GOOGL,1.2,No
Stewart-Cruz,Tech,1971,Brooke White,Lake Scottbury,3787,7394294972.87,http://mitchell.com/,AAPL,1.6,Yes
Montoya Group,Education,2001,Travis Ruiz,Wendyborough,6870,4641535197.34,http://smith-keller.com/,MSFT,2.2,No
"Graves, Ingram and Davidson",Tech,1998,Christopher Davidson,Kruegerview,7278,4061446847.13,https://george-yates.com/,MSFT,4.2,Yes
"Mclean, Cruz and Wilkinson",Finance,2024,Kenneth Malone,Bartlettfort,8462,507748943.94,http://www.silva.org/,GOOGL,2.8,Yes
Castillo-Jimenez,Finance,2015,Joshua Gonzalez,Larsonville,8397,128534684.38,http://parker.biz/,GOOGL,2.8,No
Hampton LLC,Finance,2012,Angelica Rodriguez,Craigshire,5128,4703669656.22,http://www.thomas-rivera.info/,GOOGL,1.5,Yes
Gonzales and Sons,Healthcare,1971,Bernard Quinn,Christinaborough,451,4416468586.46,https://johnson.net/,AAPL,2.3,No
Smith Group,Education,2023,Jacob Casey,Anthonyfort,8557,2393820658.59,http://barr-santana.org/,AAPL,2.3,Yes
Allen-Miller,Healthcare,1980,Virginia Flowers,Moranville,4374,3473959816.27,http://www.smith-patterson.com/,MSFT,4.3,Yes
Cox-Martinez,Healthcare,1995,Jason Wright,Reginabury,7119,6969678543.56,https://novak.net/,TSLA,4.6,No
"Hickman, Blair and Bishop",Tech,1972,Michael Nelson,Lake Roberto,7100,5586607220.07,https://www.williams.net/,TSLA,1.0,Yes
West-Fernandez,Finance,1992,Nicholas Rivers,Lake Brandyborough,3092,2675861981.86,http://garcia.com/,TSLA,2.8,No
"Russell, Santiago and Jones",Finance,2023,Christian Jones,Stephanieburgh,1892,7884057004.64,https://www.nielsen.info/,TSLA,4.8,Yes
Huff-Fisher,Finance,1997,Kenneth Weber,Powellchester,3477,2220153125.61,https://www.cannon-briggs.com/,MSFT,2.8,Yes
Campos Group,Finance,2005,Tiffany Anderson,Natalietown,4154,7945432095.48,https://brooks-schmidt.org/,MSFT,4.9,No
"White, Ruiz and Brown",Education,1972,Russell Scott,Howardport,6643,7010685943.03,http://www.barnett.com/,AAPL,1.2,No
Waller-Miller,Education,1989,Javier Green,North Dustintown,6415,1405693968.15,https://jenkins-zuniga.com/,GOOGL,3.7,Yes
Bauer Group,Finance,2006,Joshua Clay,New Edwinburgh,4537,7862920219.08,http://cantrell.com/,AAPL,3.1,No
"Cook, Garner and Powell",Finance,2010,Richard Gonzalez,Malonehaven,7031,474876514.41,http://pacheco.com/,AAPL,1.4,Yes
Morris LLC,Education,1988,Barbara Brewer,New Daniellefort,8768,4870917360.11,https://www.brown.info/,GOOGL,4.9,Yes
Duncan Ltd,Finance,2014,Jamie Davis,Lindaton,7022,7565671412.07,https://frazier.com/,MSFT,4.1,Yes
Long LLC,Retail,1990,Joseph Taylor,Ryanton,700,9439021436.03,https://www.perez-fletcher.net/,MSFT,4.2,No
"Ramirez, Miller and Mason",Healthcare,1970,Mercedes Roberson,Toddview,5976,1173725422.45,http://montgomery.com/,TSLA,4.6,No
"Phillips, Torres and Frederick",Finance,1980,Jessica Newman,Garciamouth,6192,1913145360.95,https://peters.com/,MSFT,4.9,Yes
"Robinson, Perez and Kelley",Education,1992,Christopher Crosby,Reeveschester,7303,4803903458.86,https://www.chavez.org/,AMZN,3.2,No
Price Inc,Tech,1981,Alan Hayes,Robertport,2448,5190292505.25,http://www.jones.net/,AAPL,2.8,No
"Johnson, Clark and Gomez",Education,2004,Reginald Bell,West Frankmouth,9649,6678700037.22,https://www.davis.com/,AAPL,5.0,Yes
Santiago-Brown,Retail,1993,Cheryl Jackson,Lake Karaview,9021,1428314626.81,http://hunter.com/,AAPL,4.2,No
Lee-Wilson,Finance,2011,Michaela Price,Torreschester,9121,3250456554.3,https://meza-campos.com/,AMZN,1.2,No
Carter-Sellers,Retail,1970,Kaitlyn Stewart,South Reginachester,1222,3181198126.68,https://www.nichols.biz/,MSFT,3.9,Yes
"Jennings, Patterson and Garcia",Retail,2000,James Harmon,West Jilltown,2573,3051493483.82,https://lee.com/,TSLA,3.5,No
Snyder-Osborne,Retail,2003,Austin Martinez,West Shannonhaven,1318,2090415797.56,https://www.garcia.org/,MSFT,3.4,Yes
Richardson Ltd,Education,1992,Jennifer Parker,Williamfurt,6518,2710915912.34,http://evans-sellers.info/,AAPL,4.4,Yes
"Gonzalez, Sanchez and Tyler",Tech,1989,Paul Gonzalez,Trevinomouth,9677,2643568771.32,https://heath-marks.com/,AAPL,2.3,Yes
"Gomez, Williams and Martinez",Healthcare,1985,Erin Sanchez,Jordanborough,5210,2556159591.61,http://www.li-charles.com/,MSFT,1.5,No
"Howard, Hudson and Jackson",Healthcare,2021,Eric Johnson,Jeremyton,5242,7890141376.44,https://www.dominguez.com/,AAPL,1.8,Yes
Kirk-Jones,Retail,2012,Rodney Nelson,Russellfurt,8102,4758131185.28,https://www.hudson.info/,TSLA,1.2,No
"Gonzalez, Lee and Thomas",Tech,2009,Paul Hunt,Suzanneville,5200,561677182.35,https://hansen-edwards.com/,GOOGL,2.9,No
"Hammond, Guerrero and Curry",Healthcare,1989,Bryan Mcdonald,Teresabury,5242,5353755358.88,https://www.lewis.info/,TSLA,1.1,No
"Burton, Green and Mercado",Tech,2011,Bryan Velazquez,Sheriview,921,3589244599.78,https://morris.com/,AAPL,2.1,Yes
Wells LLC,Retail,2002,Keith Phillips,Lake Elizabethland,3741,104849095.47,https://simpson.info/,MSFT,3.7,No
Lawrence-Hall,Education,1973,Daniel Watkins,New Aaron,8056,1878477616.09,http://www.graham.biz/,GOOGL,1.2,Yes
Campbell-Delgado,Finance,1988,Glenda Lane,Ethanberg,4150,271948915.88,http://www.ramirez.com/,AMZN,4.8,Yes
Weaver-English,Tech,1997,Jennifer Figueroa,Port David,4509,1787566160.51,http://www.french.biz/,GOOGL,3.2,No
"Osborne, Meyer and Huber",Finance,2022,Jonathan Delacruz,North Kathleen,9810,7371629913.59,http://www.odom.com/,MSFT,1.3,No
"Gross, Freeman and Miranda",Retail,2003,Laura Graham,East Jasmine,1678,3685498883.13,https://www.hawkins-fowler.com/,AMZN,1.5,Yes
Harris Inc,Finance,2019,Samuel Dawson,West Seanstad,9042,7598008135.56,http://www.smith.biz/,AMZN,3.8,No
Lopez Group,Healthcare,1982,Renee Thomas,Jennifershire,6619,8305279690.74,http://www.vega-morales.com/,AMZN,3.1,No
"Grant, Everett and Williams",Retail,1997,Aaron Rodriguez,Adamsside,9525,1738420487.39,http://moss.com/,AAPL,4.6,No
Carney-Baker,Education,2023,Mark Parker,Port Kimberly,9174,5253030791.28,http://craig.com/,GOOGL,3.2,Yes
Fox-Adams,Finance,1975,Lisa Wood,Johnsonside,641,2868225370.67,http://www.reynolds-jones.com/,MSFT,3.0,No
Rogers-Johnson,Healthcare,1997,Linda Dominguez,West Alexanderfurt,1083,5838953188.29,http://smith.com/,TSLA,4.5,Yes
"Lambert, Galloway and Ford",Retail,1993,Tamara English,New Jorgeburgh,7246,6872134312.82,https://morris.com/,AAPL,2.7,Yes
Maxwell PLC,Tech,1978,Christina Herrera,Washingtonmouth,2154,8156371067.01,http://lewis-stout.com/,AMZN,4.9,Yes
Briggs LLC,Retail,2013,Theresa Gonzalez,Heidimouth,7409,92775851.37,https://logan.org/,GOOGL,3.1,Yes
Cannon Ltd,Finance,2009,Stephanie Lambert,South Dana,8700,2759783293.04,https://oliver.net/,AAPL,4.2,No
Watson Ltd,Tech,2009,Michelle Ramos,Christopherview,3966,6164648695.36,https://www.cook.com/,MSFT,1.8,Yes
"Nelson, Hall and Riley",Retail,1972,Kimberly Brown,Port Angelica,7628,6176983913.32,http://reed.com/,TSLA,4.9,No
Austin-Paul,Tech,1976,Jeffrey Nelson,East Christopher,1531,6615917132.39,http://www.garcia-patel.com/,MSFT,3.7,No
"Flores, Smith and Banks",Education,1988,Kayla Martin,Coffeyside,2254,7301005152.64,http://mills.info/,AMZN,2.6,Yes
